"HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B-V","miembro"
13510,2.90003153333333,4.448303,9.26,3.15,-5.28,11.57,0.579,0
13526,2.9034838,5.048317,7.97,-15.48,-9.47,7.63,0.153,0
13530,2.90422473333333,13.331008,9.25,-20.32,-127.25,8.74,0.829,0
13532,2.9048766,20.565819,6.42,-9.34,-6.8,7.12,1.26,0
13533,2.90498713333333,15.495463,7.86,84.54,-31.53,8.57,0.418,0
13538,2.905793,11.309525,5.9,21.14,-9.51,8.38,0.26,0
13539,2.90582566666667,7.68022,3.33,22.32,-11.33,7.44,0.043,0
13543,2.90697486666667,9.772817,9.35,21.11,-4.8,9.6,0.585,0
13544,2.9071138,9.777385,6.78,18.06,6.8,10.7,0.624,0
13547,2.90764366666667,23.847184,4.44,-36.65,-15.6,9.24,0.451,0
13557,2.91043846666667,12.939234,4.83,-20.01,-16.18,8.52,0.328,0
13571,2.91384406666667,20.373067,4.26,35.7,-5.25,6.96,1.211,0
13579,2.91533306666667,17.734755,10.41,44.58,-24.46,7.01,0.28,0
13586,2.91705513333333,11.491442,5.09,-7.12,-47.28,9.08,0.545,0
13589,2.9180264,21.595149,16.01,146.33,-99.03,8.66,0.66,0
13593,2.91893566666667,3.486877,11.65,30.86,-10.35,6.91,0.309,0
13600,2.92119,17.89171,18.89,117.79,-13.2,8.83,0.704,0
13601,2.9215016,16.309189,38.3,203.76,-47.24,7.41,0.749,0
13603,2.92173666666667,8.137661,11.33,0.51,17.11,9.13,0.544,0
13611,2.9231108,10.457306,7.99,-26.5,-23.99,7.77,0.352,0
13627,2.92512413333333,22.934178,2.02,15.75,-11.12,8.96,1.763,0
13631,2.92563953333333,18.773795,17.36,282.82,-146.54,9.74,0.839,0
13632,2.9255952,6.307004,4.79,-11.94,-17.02,9.18,0.457,0
13638,2.9269936,13.178411,6.07,-28.18,-8.61,8.84,0.551,0
13641,2.92728686666667,5.496161,5.55,-14.68,-2.23,9.65,0.405,0
13643,2.92785193333333,14.70675,6.2,-13.36,-19.22,7.82,0.202,0
13650,2.9292194,7.281069,2.51,6.97,5.07,9.1,0.424,0
13654,2.93013826666667,18.33164,8.08,-8.08,-14.91,5.76,1.452,0
